Instrument,Price,Quantity,Timestamp,Trade Reference,Instrument Type,Underlying Asset,Client Reference,Market Value
GBPAUD,1.6403,8226,1499029815,TR_3,,UA_4,,13493.1078
ZARAUD,0.0883,7009,1498933524,TR_3,,UA_7,CR_2,618.8947
USDEUR,0.8452,8868,1499211085,TR_3,BUY,UA_2,CR_3,7495.2336
JPYZAR,0.1112,9151,1499075198,TR_3,SELL,,,1017.5912
GBPJPY,157.5801,4454,1498898680,TR_3,SELL,,CR_2,701861.7654
GBPEUR,1.1283,4059,1499082311,TR_3,SELL,UA_9,CR_1,4579.7697
AUDEUR,0.7287,494,1499006031,TR_3,,,,359.9778
NZDJPY,86.8106,7019,1499175366,TR_3,,UA_2,,609323.6014
USDZAR,11.9705,1028,1498986552,TR_3,SELL,UA_4,CR_1,12305.674
CADCHF,0.7755,5027,1499051188,TR_3,BUY,,CR_3,3898.4385
USDNZD,1.2501,799,1498929233,TR_3,,,,998.8299
JPYGBP,0.0069,2241,1499185593,TR_3,,,,15.4629
ZARJPY,8.3266,3226,1498983177,TR_3,BUY,UA_9,CR_1,26861.6116
CADUSD,0.7933,7261,1498981539,TR_3,,,CR_3,5760.1513
ZARCAD,0.094,1748,1499170347,TR_3,,,CR_1,164.312
CADZAR,10.7753,8551,1499053041,TR_3,BUY,UA_7,,92139.5903
CHFCAD,1.225,300,1498902123,TR_3,,UA_5,,367.5
GBPEUR,1.1874,1592,1499037550,TR_3,,UA_6,CR_1,1890.3408
NZDCAD,0.9591,1534,1499049161,TR_3,SELL,UA_5,CR_1,1471.2594
CHFAUD,1.3365,8916,1498999641,TR_3,SELL,,,11916.234
GBPNZD,1.6181,9959,1499102421,TR_3,SELL,UA_3,CR_1,16114.6579
GBPEUR,1.1869,1280,1499124403,TR_3,BUY,UA_2,CR_2,1519.232
CADJPY,87.431,4207,1499056971,TR_3,SELL,UA_8,CR_1,367822.217
GBPJPY,154.9617,265,1499102220,TR_3,,,CR_2,41064.8505
CADJPY,81.2029,2332,1499088879,TR_3,SELL,UA_10,,189365.1628
ZARCHF,0.0754,8383,1498930121,TR_3,BUY,UA_5,CR_2,632.0782
USDCHF,1.0181,1782,1499134001,TR_3,BUY,UA_8,CR_1,1814.2542
CHFGBP,0.7825,633,1498933924,TR_3,SELL,,CR_3,495.3225
ZARJPY,8.2224,9591,1499030463,TR_3,BUY,UA_10,CR_2,78861.0384
USDGBP,0.7136,2326,1499048913,TR_3,BUY,,,1659.8336
CADNZD,1.1664,7370,1498961383,TR_3,BUY,,CR_2,8596.368
JPYNZD,0.0127,9000,1499163910,TR_3,,UA_3,,114.3
AUDCHF,0.7766,6030,1499006361,TR_3,,UA_2,CR_2,4682.898
EURJPY,126.0292,15,1499173304,TR_3,SELL,,CR_1,1890.438
CHFAUD,1.3897,8401,1499059680,TR_3,SELL,UA_3,,11674.8697
ZARNZD,0.1005,9212,1499180652,TR_3,,,,925.806
NZDUSD,0.7437,8111,1499005730,TR_3,SELL,,CR_1,6032.1507
CADGBP,0.6241,9594,1498898524,TR_3,,UA_5,CR_1,5987.6154
ZARCHF,0.0805,5810,1499000111,TR_3,,UA_5,CR_3,467.705
GBPCHF,1.204,1644,1498926564,TR_3,BUY,UA_10,,1979.376
EURAUD,1.3426,5130,1499116344,TR_3,,UA_7,CR_2,6887.538
JPYGBP,0.0068,9959,1499123540,TR_3,,UA_6,,67.7212
USDNZD,1.3207,8069,1499096612,TR_3,,UA_10,CR_3,10656.7283
EURCHF,1.2305,2534,1499090676,TR_3,SELL,UA_7,CR_1,3118.087
NZDCAD,0.8539,5921,1498928637,TR_3,BUY,,CR_3,5055.9419
NZDCAD,0.8519,2389,1498947349,TR_3,,,CR_1,2035.1891
AUDCHF,0.7983,8098,1498997066,TR_3,SELL,,CR_3,6464.6334
GBPCHF,1.1778,8537,1499186636,TR_3,,UA_6,CR_2,10054.8786
JPYZAR,0.1201,8449,1499082997,TR_3,,UA_2,,1014.7249
JPYGBP,0.0074,7917,1499182302,TR_3,,,,58.5858
EURAUD,1.5109,7134,1499138693,TR_3,SELL,,,10778.7606
AUDEUR,0.6444,3654,1498897816,TR_3,,UA_6,,2354.6376
EURNZD,1.4334,897,1499071974,TR_3,,UA_3,,1285.7598
USDZAR,13.0398,8548,1498948240,TR_3,,,CR_1,111464.2104
EURAUD,1.6092,3461,1499032767,TR_3,,UA_6,CR_3,5569.4412
CHFUSD,0.9285,4412,1499106371,TR_3,,,,4096.542
ZARUSD,0.0734,7971,1498990287,TR_3,,,CR_3,585.0714
CHFCAD,1.3475,2663,1499160445,TR_3,BUY,UA_10,,3588.3925
ZARAUD,0.1035,6910,1498997103,TR_3,SELL,,CR_2,715.185
AUDCHF,0.739,9372,1499146236,TR_3,,,CR_2,6925.908
CADJPY,87.4854,5209,1499160754,TR_3,,UA_5,CR_2,455711.4486
ZARCAD,0.0979,2491,1499197280,TR_3,,,,243.8689
AUDEUR,0.653,7897,1499146025,TR_3,,,,5156.741
GBPUSD,1.4362,2649,1499054638,TR_3,BUY,UA_2,,3804.4938
AUDNZD,1.1398,7496,1499007894,TR_3,SELL,UA_2,,8543.9408
JPYCHF,0.0094,9136,1499149552,TR_3,,,,85.8784
GBPUSD,1.2036,4124,1498921047,TR_3,,UA_4,CR_1,4963.6464
NZDEUR,0.6088,3244,1499070752,TR_3,SELL,UA_2,,1974.9472
USDCAD,1.2131,4477,1499045559,TR_3,BUY,,CR_1,5431.0487
AUDCAD,0.9912,9148,1499110368,TR_3,BUY,UA_1,CR_3,9067.4976
CHFJPY,120.1764,5031,1499065541,TR_3,BUY,UA_6,,604607.4684
USDGBP,0.7283,1759,1498985721,TR_3,,,CR_1,1281.0797
GBPNZD,1.7993,8227,1498909043,TR_3,BUY,,,14802.8411
AUDEUR,0.6179,173,1498900154,TR_3,,UA_10,CR_1,106.8967
USDAUD,1.2549,2810,1499144894,TR_3,BUY,,,3526.269
USDAUD,1.3072,3554,1499060131,TR_3,,UA_7,,4645.7888
CHFZAR,14.1886,5315,1499063634,TR_3,,UA_3,,75412.409
EURCHF,1.2434,752,1499069667,TR_3,,,CR_1,935.0368
JPYCHF,0.0084,1676,1499119067,TR_3,,UA_10,CR_3,14.0784
CHFCAD,1.1952,1982,1499064962,TR_3,,UA_3,CR_2,2368.8864
EURAUD,1.3905,4926,1498986370,TR_3,,UA_2,,6849.603
ZARAUD,0.0957,3576,1499096806,TR_3,,,,342.2232
GBPEUR,1.0354,5271,1499153456,TR_3,SELL,,,5457.5934
USDEUR,0.8784,3397,1499145011,TR_3,,,CR_3,2983.9248
CADEUR,0.6468,3921,1499102668,TR_3,,,,2536.1028
ZAREUR,0.0601,2004,1498981253,TR_3,,,,120.4404
CADZAR,10.052,174,1499144628,TR_3,SELL,UA_3,CR_1,1749.048
USDNZD,1.2987,1682,1499187949,TR_3,SELL,UA_5,CR_2,2184.4134
CADZAR,9.7428,4389,1499194969,TR_3,SELL,,CR_2,42761.1492
CHFZAR,12.3983,9966,1498967389,TR_3,BUY,UA_7,CR_3,123561.4578
EURJPY,137.9784,6502,1499010319,TR_3,BUY,UA_3,CR_2,897135.5568
USDCHF,0.9883,7201,1499140106,TR_3,,UA_10,,7116.7483
AUDJPY,87.9135,2556,1499106365,TR_3,BUY,UA_10,CR_1,224706.906
NZDCHF,0.7272,7724,1499121576,TR_3,BUY,,CR_3,5616.8928
JPYNZD,0.0119,7992,1498983578,TR_3,,UA_1,,95.1048
JPYNZD,0.0113,584,1499126529,TR_3,,UA_8,,6.5992
