Instrument,Price,Quantity,Timestamp,Trade Reference,Instrument Type,Underlying Asset,Client Reference,Market Value
ZARAUD,0.0873,7621,1499004029,TR_2,,,CR_1,665.3133
NZDEUR,0.629,913,1499044509,TR_2,,,CR_3,574.277
GBPUSD,1.3837,9082,1499151981,TR_2,SELL,UA_4,CR_1,12566.7634
GBPUSD,1.3396,2314,1498989691,TR_2,,UA_7,,3099.8344
CHFCAD,1.3412,1931,1498979787,TR_2,,UA_5,CR_1,2589.8572
CADGBP,0.6741,4554,1499207236,TR_2,,,CR_2,3069.8514
ZARCAD,0.1047,970,1499156029,TR_2,,,CR_3,101.559
EURJPY,136.1566,61,1498966729,TR_2,,UA_5,,8305.5526
JPYUSD,0.0083,9673,1498980101,TR_2,,UA_10,CR_2,80.2859
ZARGBP,0.0629,6941,1499091116,TR_2,,,,436.5889
ZAREUR,0.0661,4095,1499026750,TR_2,BUY,,,270.6795
GBPCHF,1.2587,7086,1499029747,TR_2,BUY,UA_5,,8919.1482
AUDZAR,10.7484,132,1498939550,TR_2,,,CR_3,1418.7888
JPYGBP,0.0068,9547,1499211137,TR_2,SELL,,,64.9196
ZARJPY,8.5734,2878,1498941399,TR_2,,UA_1,,24674.2452
NZDJPY,88.2363,1950,1499185847,TR_2,BUY,,CR_2,172060.785
EURUSD,1.0793,6738,1498971505,TR_2,SELL,,CR_3,7272.3234
CHFEUR,0.8395,6829,1499068641,TR_2,,,,5732.9455
CHFUSD,1.1186,3249,1498920270,TR_2,SELL,UA_5,CR_1,3634.3314
USDNZD,1.4434,5769,1499135858,TR_2,,UA_3,CR_1,8326.9746
CADGBP,0.6183,9227,1499179394,TR_2,,,CR_2,5705.0541
EURZAR,13.9091,1000,1499202481,TR_2,SELL,,,13909.1
EURUSD,1.0908,5537,1499029247,TR_2,SELL,,,6039.7596
USDJPY,116.4462,9025,1498920365,TR_2,BUY,,CR_3,1050926.955
NZDUSD,0.7529,6091,1498969869,TR_2,,,,4585.9139
JPYAUD,0.0109,262,1499066726,TR_2,BUY,UA_8,CR_3,2.8558
CADAUD,1.0652,6341,1499184362,TR_2,,UA_10,CR_2,6754.4332
CADNZD,1.1368,8539,1498915145,TR_2,,UA_6,,9707.1352
EURGBP,0.94,5950,1499176273,TR_2,,UA_9,,5593.0
AUDGBP,0.6535,6559,1499002089,TR_2,SELL,UA_8,CR_1,4286.3065
EURNZD,1.6854,6175,1499169124,TR_2,BUY,,CR_2,10407.345
CADJPY,95.2776,2033,1498935423,TR_2,SELL,UA_10,,193699.3608
CADZAR,10.8758,2431,1498970613,TR_2,,,,26439.0698
CADAUD,1.0952,995,1499124683,TR_2,,UA_9,CR_2,1089.724
GBPAUD,1.7838,9719,1499186536,TR_2,,UA_3,,17336.7522
