Instrument,Price,Quantity,Timestamp,Trade Reference,Instrument Type,Underlying Asset,Client Reference,Market Value
CHFZAR,14.1712,1186,1499175137,TR_1,BUY,,CR_3,16807.0432
CHFNZD,1.2564,6475,1499026576,TR_1,,,CR_1,8135.19
JPYNZD,0.0111,5237,1498995535,TR_1,,,,58.1307
NZDCAD,0.9248,6632,1498923977,TR_1,,UA_4,CR_1,6133.2736
EURUSD,1.1659,9843,1499085207,TR_1,SELL,,CR_1,11475.9537
CADCHF,0.8502,9558,1499128081,TR_1,,UA_2,,8126.2116
USDCHF,0.9738,254,1499100509,TR_1,BUY,UA_2,CR_1,247.3452
ZARNZD,0.11,1461,1499016423,TR_1,,,,160.71
ZAREUR,0.0676,6939,1499037840,TR_1,SELL,UA_2,CR_1,469.0764
AUDJPY,91.5045,6166,1498913323,TR_1,,UA_3,CR_3,564216.747
GBPCHF,1.2285,7423,1499012378,TR_1,,,,9119.1555
AUDJPY,96.3709,2853,1499037177,TR_1,SELL,UA_5,,274946.1777
AUDEUR,0.7307,4761,1499181947,TR_1,BUY,UA_10,CR_1,3478.8627
JPYZAR,0.1283,9450,1499022063,TR_1,,,CR_3,1212.435
USDCHF,0.9804,6012,1499059611,TR_1,,,,5894.1648
NZDGBP,0.5535,9532,1499127400,TR_1,SELL,,CR_3,5275.962
NZDAUD,1.0205,84,1499154015,TR_1,BUY,UA_1,,85.722
EURZAR,15.6585,9833,1498900931,TR_1,,UA_5,,153970.0305
AUDJPY,94.2878,5626,1499143190,TR_1,SELL,,,530463.1628
EURUSD,1.256,3905,1499118659,TR_1,,,,4904.68
EURNZD,1.6614,6864,1499132175,TR_1,BUY,,CR_1,11403.8496
USDZAR,13.7628,9978,1498918214,TR_1,BUY,UA_5,CR_2,137325.2184
ZARUSD,0.0691,7959,1499132140,TR_1,,UA_5,,549.9669
GBPUSD,1.271,4450,1498898745,TR_1,BUY,UA_9,,5655.95
USDZAR,14.2931,5861,1499129563,TR_1,,UA_6,CR_2,83771.8591
USDAUD,1.1985,9904,1499082306,TR_1,,,CR_1,11869.944
NZDCAD,0.976,1366,1498900693,TR_1,BUY,UA_1,CR_3,1333.216
USDAUD,1.2276,1750,1498939782,TR_1,BUY,,CR_1,2148.3
JPYAUD,0.0113,7555,1499019967,TR_1,SELL,,CR_2,85.3715
ZARJPY,7.8473,8528,1499041714,TR_1,BUY,,,66921.7744
CADCHF,0.705,1271,1499085356,TR_1,,,CR_2,896.055
AUDCAD,1.0647,2811,1499195441,TR_1,BUY,,,2992.8717
ZARAUD,0.0942,2767,1498941770,TR_1,,UA_9,CR_2,260.6514
ZAREUR,0.0617,5546,1499036769,TR_1,,UA_10,,342.1882
CHFGBP,0.7821,3091,1499073708,TR_1,,,,2417.4711
EURJPY,121.6368,5939,1499084412,TR_1,,UA_7,,722400.9552
CADCHF,0.7355,296,1499064856,TR_1,BUY,UA_10,,217.708
ZARJPY,8.8554,8354,1499043690,TR_1,,,CR_2,73978.0116
CHFCAD,1.2713,6266,1499057470,TR_1,SELL,,,7965.9658
USDCHF,0.886,5848,1499177487,TR_1,,UA_8,,5181.328
CHFAUD,1.2943,4545,1499064964,TR_1,SELL,UA_6,CR_2,5882.5935
ZARUSD,0.0718,7763,1499092407,TR_1,SELL,UA_1,,557.3834
CADAUD,0.9656,4708,1499054544,TR_1,SELL,UA_9,CR_2,4546.0448
GBPUSD,1.444,6714,1499191878,TR_1,,UA_5,,9695.016
JPYUSD,0.0088,7104,1499148872,TR_1,,,CR_1,62.5152
AUDEUR,0.6625,4314,1499064691,TR_1,SELL,,,2858.025
CADNZD,1.0854,7368,1498989821,TR_1,SELL,,CR_1,7997.2272
GBPUSD,1.4449,917,1499182849,TR_1,BUY,,CR_2,1324.9733
ZARAUD,0.1054,6241,1499174663,TR_1,,UA_4,,657.8014
CHFUSD,1.1096,7389,1499081646,TR_1,SELL,,,8198.8344
EURJPY,134.7832,4120,1499208455,TR_1,,UA_10,,555306.784
CADJPY,96.4706,3794,1498938164,TR_1,SELL,UA_3,,366009.4564
USDCHF,0.935,6147,1498961564,TR_1,,,CR_1,5747.445
JPYUSD,0.0087,7400,1499193595,TR_1,,UA_5,,64.38
AUDZAR,9.8246,4737,1499026656,TR_1,,UA_3,,46539.1302
NZDCHF,0.6759,2797,1499134026,TR_1,,,CR_3,1890.4923
EURUSD,1.1,6314,1499042369,TR_1,,,CR_2,6945.4
ZARGBP,0.0559,8552,1498992176,TR_1,BUY,,CR_3,478.0568
EURJPY,132.3438,7892,1498972862,TR_1,,UA_6,CR_1,1044457.2696
