Closing Position,Closing Value,Instrument,Total Traded Value
BUY,-211070.0989,CHFZAR,211070.0989
,0.0,ZARCHF,601.3744
BUY,-6706.2695,EURCAD,47863.3856
SELL,1183333.6137,GBPJPY,4398630.8686
BUY,22426.7597,GBPUSD,52964.9405
SELL,1225494.4501,EURJPY,4011227.3242
SELL,2004.9678,CADGBP,10779.8733
SELL,10290.9809,AUDUSD,26223.9966
SELL,660.4024,ZARCAD,1945.7332
BUY,3478.417,GBPAUD,56427.305
,0.0,CADCHF,9048.3246
SELL,12962.6158,GBPCAD,27039.1213
BUY,-22885.8821,EURNZD,25774.5602
SELL,10065.5832,NZDAUD,16057.1745
BUY,-123.56,JPYCHF,219.3756
BUY,-526.99,NZDUSD,8391.3472
BUY,-3478.8627,AUDEUR,8635.6037
BUY,-172060.785,NZDJPY,1490146.6388
BUY,-1190.2379,JPYZAR,1779.5714
SELL,149167.4801,CADZAR,293207.6493
,0.0,NZDEUR,7740.7115
BUY,41070.8205,AUDZAR,150342.5163
SELL,3938.3614,GBPEUR,14961.7392
BUY,-1976.3424,CHFUSD,9924.1739
SELL,8.5324,JPYCAD,322.5154
SELL,14474.7158,USDNZD,40789.8265
BUY,-6.1691,NZDGBP,10558.0931
,0.0,JPYGBP,174.826
BUY,-300.6415,ZARAUD,3037.886
SELL,13909.1,EURZAR,13909.1
SELL,7313.6535,EURGBP,24022.8348
SELL,101.8854,JPYEUR,160.593
BUY,3251.7604,USDAUD,35349.7778
SELL,750900.1264,AUDJPY,1232749.8192
BUY,-6008.8158,CHFGBP,6008.8158
BUY,44247.5803,USDZAR,349848.5987
,0.0,ZARGBP,227.6379
SELL,92363.4953,ZARJPY,261673.5117
BUY,-3074.0742,EURCHF,19641.8854
,0.0,ZARUSD,957.3602
,0.0,CADAUD,10202.5097
BUY,-20147.7505,GBPCHF,44679.7815
SELL,62.1828,JPYUSD,209.43
SELL,2298.9725,CHFEUR,30343.4653
BUY,-2992.8717,AUDCAD,2992.8717
SELL,11030.3812,USDCAD,17525.3545
,0.0,GBPZAR,500140.0559
BUY,915.8217,AUDCHF,15885.0339
BUY,-216.3304,ZAREUR,219.6054
SELL,5512.2912,USDCHF,40179.6009
BUY,-110.1072,JPYNZD,321.2023
SELL,519210.1818,USDJPY,1820480.5152
SELL,745320.5625,CADJPY,1505675.7771
SELL,8041.726,GBPNZD,19129.1578
,0.0,ZARNZD,1926.934
SELL,12578.1468,NZDZAR,121449.6992
,0.0,CHFJPY,1842701.989
,0.0,EURUSD,23006.9745
BUY,9332.6763,EURAUD,25943.2059
SELL,-7539.2593,NZDCHF,13983.0058
SELL,8525.7021,CHFCAD,15702.4871
BUY,-8707.7655,NZDCAD,22804.0582
SELL,85.913,JPYAUD,119.5873
BUY,-5642.0283,CADUSD,5642.0283
,0.0,USDEUR,8345.9028
SELL,9686.1696,AUDNZD,15762.8134
BUY,-4370.366,CHFNZD,6552.6692
,0.0,CADNZD,6542.2511
,0.0,CADEUR,4920.7414
,0.0,USDGBP,3103.2925
