Closing Position,Closing Value,Instrument,Total Traded Value
SELL,-4355.2301,CHFNZD,12881.0359
,0.0,GBPUSD,27750.3502
BUY,14795.4055,GBPZAR,156156.7959
BUY,72585.8129,USDZAR,333393.8497
,0.0,JPYNZD,246.377
SELL,715.185,ZARAUD,1380.4983
,0.0,GBPAUD,34686.5095
SELL,9389.9474,AUDCAD,28049.2206
BUY,-16.7093,JPYUSD,193.7169
SELL,30.8127,JPYAUD,149.2957
SELL,-2962.1456,CHFCAD,36008.4232
BUY,190.268,ZAREUR,2559.4364
BUY,-897135.5568,EURJPY,3595843.1613
,0.0,CHFEUR,8640.4032
SELL,4030.3675,EURCAD,14279.2885
,0.0,ZARNZD,1774.6926
BUY,-8919.1482,GBPCHF,18038.3037
BUY,144.8814,ZARCHF,2684.4308
SELL,-45.1942,JPYEUR,300.4938
BUY,-5203.2575,USDAUD,17110.8997
SELL,561.319,JPYZAR,3166.044
,0.0,AUDEUR,6899.4436
BUY,-42.6836,JPYGBP,114.4136
SELL,13312.083,EURUSD,28014.5404
BUY,1922.7748,CADEUR,12437.161
BUY,-116.423,JPYCHF,116.423
SELL,1418590.4696,USDJPY,1894598.9256
SELL,9181.4535,AUDGBP,11333.529
SELL,5095.3793,CADNZD,26847.8537
SELL,-797869.3636,AUDJPY,1499788.3029
BUY,-21284.338,USDNZD,23788.1717
BUY,-108981.763,ZARJPY,237677.8802
,0.0,NZDGBP,9624.7993
,0.0,CHFGBP,19854.8407
BUY,-6289.1718,CADUSD,30874.7918
BUY,-123561.4578,CHFZAR,388763.7213
SELL,13826.516,NZDUSD,24889.7499
BUY,-1593.604,EURCHF,24939.757
,0.0,NZDCAD,12867.9264
BUY,-56.5036,JPYCAD,110.8411
,0.0,AUDUSD,8040.305
SELL,149.7101,EURAUD,49485.4704
SELL,321652.4682,CHFJPY,374439.726
SELL,-446.3067,USDEUR,3672.7113
SELL,4958.5882,USDCAD,6128.0482
SELL,21867.8242,CHFAUD,34190.6934
,0.0,CADZAR,85547.4506
SELL,8543.9408,AUDNZD,18107.4983
SELL,6124.4529,USDCHF,18749.1634
BUY,-10735.316,NZDEUR,10735.316
BUY,-727.42,ZARUSD,1514.0601
SELL,9695.5488,CHFUSD,9695.5488
SELL,-274666.101,NZDJPY,1430964.3093
BUY,-12892.6966,EURNZD,45814.4669
SELL,6464.6334,AUDCHF,17226.9234
SELL,10030.4046,CADCHF,10030.4046
,0.0,EURGBP,6142.104
SELL,943.3206,ZARCAD,943.3206
SELL,6407.0494,USDGBP,7688.1291
BUY,-12057.0712,NZDZAR,46912.0597
BUY,-7378.5399,NZDAUD,7378.5399
SELL,171903.3495,AUDZAR,281856.9693
BUY,7478.4005,CADAUD,15462.9647
BUY,-478.0568,ZARGBP,619.2791
,0.0,CADJPY,1139477.8295
SELL,4121.4408,GBPCAD,4121.4408
SELL,6775.8834,GBPEUR,6775.8834
BUY,-9394.9348,GBPNZD,9394.9348
,0.0,GBPJPY,410975.544
,0.0,NZDCHF,1231.68
