Instrument,Price,Quantity,Timestamp,Trade Reference,Instrument Type,Underlying Asset,Client Reference
EURCHF,1.2347,6939,1498950402,,BUY,UA_8,
EURGBP,0.8457,4463,1498910323,,,UA_1,
USDJPY,101.5991,7984,1498985754,,SELL,UA_4,CR_3
JPYNZD,0.0115,5179,1498990141,,SELL,,CR_3
GBPNZD,1.8511,2151,1498900086,TR_5,,,
GBPEUR,1.1154,9436,1499122777,TR_5,,,
USDJPY,101.5102,9824,1499084065,,SELL,,CR_2
EURZAR,14.0144,8673,1499132547,TR_3,,UA_10,CR_2
JPYCHF,0.0092,8279,1499068013,TR_1,,UA_4,
CHFAUD,1.3344,5625,1498992128,,SELL,UA_8,
NZDEUR,0.6618,8442,1499116452,,,,
NZDUSD,0.82,6262,1498981577,,SELL,UA_10,CR_1
NZDJPY,86.5155,1168,1498987719,,SELL,UA_10,CR_2
EURCHF,1.069,1272,1499165105,TR_3,,,
JPYCHF,0.0086,1415,1499093582,,,,CR_3
GBPCAD,1.5035,6208,1498979244,,,,
CADCHF,0.7142,1187,1498919593,TR_3,,UA_4,
JPYCHF,0.0082,1348,1499079120,,,,
EURJPY,121.5044,9735,1499002729,,,,CR_1
CADAUD,1.0237,811,1498904331,,,UA_4,CR_2
USDGBP,0.7648,684,1499100177,TR_4,BUY,UA_7,CR_1
GBPJPY,140.0488,8363,1498898729,,SELL,,CR_2
USDAUD,1.3045,1695,1499066396,TR_1,SELL,,CR_3
USDZAR,11.8768,8637,1498959369,TR_2,,UA_2,CR_2
USDEUR,0.8869,8264,1498931988,TR_3,,UA_8,CR_1
JPYNZD,0.0118,316,1499001587,,,,CR_1
USDZAR,12.3887,4850,1499027390,,,,
CADEUR,0.6512,6805,1499118698,TR_3,SELL,,
ZARNZD,0.1028,4733,1499123798,,,UA_8,
USDNZD,1.3828,9959,1499149827,,SELL,,
CADCHF,0.86,5737,1499126310,TR_4,BUY,,
NZDUSD,0.7049,7287,1499156718,TR_1,,,
AUDNZD,1.1204,8341,1498979124,TR_1,SELL,UA_6,
USDJPY,121.5085,5180,1499199689,,,UA_8,
CHFAUD,1.3127,4854,1499025496,TR_2,,UA_4,
EURUSD,1.1231,1379,1498948484,,BUY,UA_7,CR_3
CADCHF,0.7057,7925,1499112541,,SELL,UA_6,CR_3
EURCHF,1.0348,5310,1499126243,,BUY,,
JPYGBP,0.0065,6483,1499022349,,BUY,UA_7,CR_2
ZAREUR,0.066,174,1499100981,TR_2,,UA_1,
NZDGBP,0.5149,8514,1499211303,,SELL,UA_1,CR_3
JPYNZD,0.0117,8936,1498923471,,SELL,,
ZARUSD,0.0765,4140,1499169242,TR_1,BUY,,CR_2
GBPAUD,1.7601,6533,1499085937,,BUY,UA_6,CR_2
CADCHF,0.7516,340,1498973518,,,,CR_3
